condition_id,participant_id,luminance_cd_m2,f_pref_mean_cpd,percentile_2_5_cpd,percentile_97_5_cpd,n_saved_fits,n_pass_nrmse,n_retained,n_excluded,source_id
P01_L010,P01,10,3.23016005,2.5655,4.427637499999991,10000,10000,10000,0,P01_L010_FIT
P01_L020,P01,20,2.92880105,2.3615,4.0445,10000,10000,10000,0,P01_L020_FIT
P01_L025,P01,25,2.8511306,2.438,3.7901374999999904,10000,10000,10000,0,P01_L025_FIT
P01_L038,P01,38,2.6097986000000004,2.03,3.815,10000,10000,10000,0,P01_L038_FIT
P01_L050,P01,50,2.9281584499999997,2.4635,3.8915,10000,10000,10000,0,P01_L050_FIT
P01_L072,P01,72,2.6442465499999996,2.1575,3.917,10000,10000,10000,0,P01_L072_FIT
P01_L100,P01,100,5.382956750000001,3.5345,6.467,10000,10000,10000,0,P01_L100_FIT
P01_L149,P01,149,3.8198118500000002,2.6165,4.733,10000,10000,10000,0,P01_L149_FIT
P01_L200,P01,200,7.6099939,5.9116,8.8194,10000,10000,10000,0,P01_L200_FIT
P01_L300,P01,300,11.47006368,8.3854,13.6368,10000,10000,10000,0,P01_L300_FIT
P01_L370,P01,370,5.930538649999999,3.662,7.997637499999991,10000,10000,10000,0,P01_L370_FIT
P01_L403,P01,403,7.075557500000001,5.6255,8.0735,10000,10000,10000,0,P01_L403_FIT
P02_L010,P02,10,3.3798176,2.612,4.756,10000,10000,10000,0,P02_L010_FIT
P02_L026,P02,26,3.3675770000000003,2.5655,5.1665,10000,10000,10000,0,P02_L026_FIT
P02_L049,P02,49,3.0871968499999998,2.3105,4.427,10000,10000,10000,0,P02_L049_FIT
P02_L100,P02,100,4.618103378054624,2.897,5.855,10000,4174,4174,5826,P02_L100_FIT
P02_L204,P02,204,6.920145695364238,6.4415,7.232,10000,3171,3171,6829,P02_L204_FIT
P02_L300,P02,300,6.549472100000001,4.427,7.997,10000,10000,10000,0,P02_L300_FIT
P03_L010,P03,10,2.8320013111389803,2.5145,3.203,10000,10000,8771,1229,P03_L010_FIT
P03_L049,P03,49,2.17910615,1.9025,2.846,10000,10000,10000,0,P03_L049_FIT
P03_L100,P03,100,2.21173085,1.9025,2.744,10000,10000,10000,0,P03_L100_FIT
P03_L200,P03,200,2.9399729518855655,2.1224,4.1816,10000,9997,9997,3,P03_L200_FIT
P03_L300,P03,300,3.002716798762807,2.54,4.07,10000,5173,5173,4827,P03_L300_FIT
P03_L370,P03,370,4.9583843,3.152,6.773,10000,10000,10000,0,P03_L370_FIT
P03_L415,P03,415,5.056879310344828,3.305,6.671,10000,6873,6873,3127,P03_L415_FIT
P04_L010,P04,10,3.124318431213168,2.693,4.0445,10000,10000,9842,158,P04_L010_FIT
P04_L049,P04,49,2.3169107,1.9535,3.254,10000,10000,10000,0,P04_L049_FIT
P04_L100,P04,100,2.12795825,1.9535,2.3105,10000,10000,10000,0,P04_L100_FIT
P04_L200,P04,200,5.5862815,5.1895,5.978,10000,10000,10000,0,P04_L200_FIT
P04_L300,P04,300,6.58011581733951,5.192,7.487,10000,10000,9066,934,P04_L300_FIT
P04_L370,P04,370,3.7084125500000003,2.693,5.549,10000,10000,10000,0,P04_L370_FIT
