condition_id,participant_id,luminance_cd_m2,background_intensity_source,max_monitor_cd_m2_source,raw_frequency_divisor
P01_L010,P01,10,0.189,400,31.5
P01_L020,P01,20,0.26,400,31.5
P01_L025,P01,25,0.286,400,31.5
P01_L038,P01,38,0.35,400,31.5
P01_L050,P01,50,0.392,400,31.5
P01_L072,P01,72,0.46,400,31.5
P01_L100,P01,100,0.54,400,31.5
P01_L149,P01,149,0.63,400,31.5
P01_L200,P01,200,0.735,400,31.5
P01_L300,P01,300,0.89,400,31.5
P01_L370,P01,370,0.95,500,31.5
P01_L403,P01,403,0.98,500,31.5
P02_L010,P02,10,0.189,400,31.5
P02_L026,P02,26,0.29,400,31.5
P02_L049,P02,49,0.39,400,31.5
P02_L100,P02,100,0.54,400,31.5
P02_L204,P02,204,0.72,500,31.5
P02_L300,P02,300,0.86,500,31.5
P03_L010,P03,10,0.19,400,31.5
P03_L049,P03,49,0.39,400,31.5
P03_L100,P03,100,0.54,400,31.5
P03_L200,P03,200,0.735,400,31.5
P03_L300,P03,300,0.86,500,31.5
P03_L370,P03,370,0.95,500,31.5
P03_L415,P03,415,0.99,500,31.5
P04_L010,P04,10,0.19,400,31.5
P04_L049,P04,49,0.39,400,31.5
P04_L100,P04,100,0.54,400,31.5
P04_L200,P04,200,0.735,400,31.5
P04_L300,P04,300,0.86,500,31.5
P04_L370,P04,370,0.95,500,31.5
