condition_id,participant_id,staircase_id,source_id,reversal_number_detected,trial_within_staircase,source_row,contrast_normalized_source,in_last8_point_estimate,staircase_included
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,1,8,33,0.003019950678175087,False,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,2,18,88,0.03630781750924784,False,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,3,24,106,0.008997459926017266,False,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,4,28,131,0.02061198520345254,True,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,5,31,137,0.010260764488286058,True,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,6,38,154,0.0538492601726264,True,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,7,52,188,0.0033068803945745964,True,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,8,66,202,0.09107898890258938,True,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,9,75,211,0.01123564734895192,True,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,10,82,218,0.05896552404438966,True,True
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,11,84,220,0.02935337854500615,True,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,1,9,26,0.003019950678175087,False,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,2,13,37,0.006918310727496915,False,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,3,15,53,0.0034439704069050385,True,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,4,19,63,0.007889679408138084,True,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,5,23,77,0.003927533908754638,True,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,6,27,87,0.008997459926017266,True,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,7,33,102,0.0022296670776818816,True,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,8,37,109,0.005107866831072755,True,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,9,39,121,0.002542725030826122,True,True
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,10,43,129,0.005825043156596799,True,True
P01_L010,P01,P01_L010_T001_A03,P01_L010_T001,1,9,48,0.003019950678175087,False,True
P01_L010,P01,P01_L010_T001_A03,P01_L010_T001,2,13,55,0.006918310727496915,False,True
P01_L010,P01,P01_L010_T001_A03,P01_L010_T001,3,15,70,0.0034439704069050385,True,True
P01_L010,P01,P01_L010_T001_A03,P01_L010_T001,4,19,85,0.007889679408138084,True,True
P01_L010,P01,P01_L010_T001_A03,P01_L010_T001,5,21,92,0.003927533908754638,True,True
