condition_id,participant_id,staircase_id,source_id,staircase_code_source,spatial_frequency_cpd,n_trials,n_trials_used,n_detected_reversals,threshold_last8_median,included_in_primary_csf,exclusion_reason
P01_L010,P01,P01_L010_T001_A01,P01_L010_T001,1,16.0,86,86,11,0.024982681874229345,True,
P01_L010,P01,P01_L010_T001_A02,P01_L010_T001,2,1.0,44,44,10,0.004517700369913696,True,
P01_L010,P01,P01_L010_T001_A03,P01_L010_T001,3,8.0,44,44,10,0.004517700369913696,True,
P01_L010,P01,P01_L010_T001_A04,P01_L010_T001,4,4.0,48,48,10,0.004634525277435249,True,
P01_L010,P01,P01_L010_T002_A01,P01_L010_T002,1,11.3,61,61,11,0.006559143033292244,True,
P01_L010,P01,P01_L010_T002_A02,P01_L010_T002,2,0.5,55,55,10,0.007820197287299635,True,
P01_L010,P01,P01_L010_T002_A03,P01_L010_T002,3,6.0,42,42,10,0.00396148581997533,True,
P01_L010,P01,P01_L010_T002_A04,P01_L010_T002,4,2.0,48,48,10,0.004275937114673227,True,
P01_L010,P01,P01_L010_T003_A01,P01_L010_T003,1,2.0,38,38,10,0.004517700369913696,True,
P01_L010,P01,P01_L010_T003_A02,P01_L010_T003,2,11.3,43,43,10,0.007411263871763253,True,
P01_L010,P01,P01_L010_T003_A03,P01_L010_T003,3,0.5,48,48,11,0.008286572133168923,True,
P01_L010,P01,P01_L010_T003_A04,P01_L010_T003,4,6.0,43,43,10,0.004517700369913696,True,
P01_L010,P01,P01_L010_T004_A01,P01_L010_T004,1,0.5,56,56,11,0.007641171393341554,True,
P01_L010,P01,P01_L010_T004_A02,P01_L010_T004,2,2.0,44,44,10,0.0034136313193588027,True,
P01_L010,P01,P01_L010_T004_A03,P01_L010_T004,3,6.0,48,48,10,0.005152059186189889,True,
P01_L010,P01,P01_L010_T004_A04,P01_L010_T004,4,11.3,55,55,11,0.01046004315659679,True,
P01_L010,P01,P01_L010_T005_A01,P01_L010_T005,1,6.0,42,42,11,0.004517700369913696,True,
P01_L010,P01,P01_L010_T005_A02,P01_L010_T005,2,11.3,56,56,10,0.00917218249075217,True,
P01_L010,P01,P01_L010_T005_A03,P01_L010_T005,3,2.0,43,43,10,0.00396148581997533,True,
P01_L010,P01,P01_L010_T005_A04,P01_L010_T005,4,0.5,35,35,10,0.00649877928483353,True,
P01_L010,P01,P01_L010_T006_A01,P01_L010_T006,1,4.0,42,42,10,0.0032351171393341423,True,
P01_L010,P01,P01_L010_T006_A02,P01_L010_T006,2,8.0,42,42,10,0.004517700369913696,True,
P01_L010,P01,P01_L010_T006_A03,P01_L010_T006,3,16.0,59,59,10,0.00963856350184957,True,
P01_L010,P01,P01_L010_T006_A04,P01_L010_T006,4,1.0,38,38,10,0.004517700369913696,True,
P01_L010,P01,P01_L010_T007_A01,P01_L010_T007,1,1.0,46,46,11,0.005152034525277431,True,
P01_L010,P01,P01_L010_T007_A02,P01_L010_T007,2,8.0,49,49,10,0.004275906288532659,True,
P01_L010,P01,P01_L010_T007_A03,P01_L010_T007,3,16.0,45,45,10,0.0157093156596794,True,
