condition_id,participant_id,source_id,source_key,source_value
P01_L010,P01,P01_L010_M001,distance_To_Monitor,1.0
P01_L010,P01,P01_L010_M001,win_widthy_Pixel,2560
P01_L010,P01,P01_L010_M001,win_widthx_Pixel,1440
P01_L010,P01,P01_L010_M001,win_widthy_Meter,0.3353
P01_L010,P01,P01_L010_M001,win_widthx_Meter,0.5962
P01_L010,P01,P01_L010_M001,Pixel Per Inch,164
P01_L010,P01,P01_L010_M001,Pixel width (m),0.00023289062499999997
P01_L010,P01,P01_L010_M001,Pixel Pitch (mm),0.155*0.155
P01_L010,P01,P01_L010_M001,bkg_intensity,0.189
P01_L010,P01,P01_L010_M001,max_intensity,1.0
P01_L010,P01,P01_L010_M001,time_Stimulus,250
P01_L010,P01,P01_L010_M001,reversalN,0.0
P01_L010,P01,P01_L010_M001,rateDW,0.5
P01_L010,P01,P01_L010_M001,correctTick,0
P01_L010,P01,P01_L010_M001,count_Reversals,0
P01_L010,P01,P01_L010_M001,probe_LR,0
P01_L010,P01,P01_L010_M001,human_LR,0
P01_L010,P01,P01_L010_M001,posY,0
P01_L010,P01,P01_L010_M001,rateUP,0.5
P01_L010,P01,P01_L010_M001,probe_pos (m),0.0
P01_L010,P01,P01_L010_M001,text,-1
P01_L010,P01,P01_L010_M001,reversePOINT,1
P01_L010,P01,P01_L010_M001,trialPOINT,8
P01_L010,P01,P01_L010_M001,nDW,4
P01_L010,P01,P01_L010_M001,nUP,1
P01_L010,P01,P01_L010_M001,start_weber_Contrast,1.0
P01_L010,P01,P01_L010_M001,number_trials,80
P01_L010,P01,P01_L010_M001,terminationINDEX,9
P01_L010,P01,P01_L010_M001,stepDWUP,0.005
P01_L010,P01,P01_L010_M001,logUNIT_UP,0.36
P01_L010,P01,P01_L010_M001,logUNIT_DW,0.30294
P01_L010,P01,P01_L010_M001,condRule,2
P01_L010,P01,P01_L010_M001,preReversalStepDW,0.36
P01_L010,P01,P01_L010_M001,Reversal_or_Trial,1
P01_L010,P01,P01_L010_M001,limit_Trial_Run,100
P01_L010,P01,P01_L010_M001,max_monitor_cdm2,400
P01_L010,P01,P01_L010_M001,bkg_monitor_cdm2,10.0
P01_L010,P01,P01_L010_M001,width,374.94805047229414
P01_L010,P01,P01_L010_M001,fs,47.25
P01_L010,P01,P01_L010_M001,ph,0.0
