source_key,description,units,observed_values,interpretation_status
BRTRR,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1.2,Retained as source text; do not infer operational meaning.
BRTRR:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1.2,Retained as source text; do not infer operational meaning.
Lbg,Source metadata field; definitive acquisition meaning not established.,unconfirmed,25,Retained as source text; do not infer operational meaning.
Lbg:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,25,Retained as source text; do not infer operational meaning.
Lmax,Source metadata field; definitive acquisition meaning not established.,unconfirmed,25,Retained as source text; do not infer operational meaning.
Lmax:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,25,Retained as source text; do not infer operational meaning.
Lmin,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
Lmin:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
Pixel Per Inch,Source metadata field; definitive acquisition meaning not established.,unconfirmed,164,Retained as source text; do not infer operational meaning.
Pixel Pitch (mm),Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.155*0.155,Retained as source text; do not infer operational meaning.
Pixel width (m),Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.00023289062499999997,Retained as source text; do not infer operational meaning.
Probe_Height_Deg,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.13343643869556676,Retained as source text; do not infer operational meaning.
Probe_width_Deg,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.013343649840352816,Retained as source text; do not infer operational meaning.
Reversal_or_Trial,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1,Retained as source text; do not infer operational meaning.
Reversal_or_Trial:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1,Retained as source text; do not infer operational meaning.
SdeX,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.05,Retained as source text; do not infer operational meaning.
SdeY,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.05,Retained as source text; do not infer operational meaning.
Sdey,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.05,Retained as source text; do not infer operational meaning.
avg_monitor_cdm2:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,200 | 300,Retained as source text; do not infer operational meaning.
bg,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.189 | 0.19 | 0.26 | 0.286 | 0.29 | 0.35 | 0.39 | 0.392 | 0.46 | 0.54 | 0.63 | 0.72 | 0.735 | 0.86 | 0.95 | 0.98 | 0.99,Retained as source text; do not infer operational meaning.
bg:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.735 | 0.89,Retained as source text; do not infer operational meaning.
bkg_intensity,Background intensity in source display coordinates,dimensionless,0.189 | 0.19 | 0.26 | 0.286 | 0.29 | 0.35 | 0.39 | 0.392 | 0.46 | 0.54 | 0.63 | 0.72 | 0.735 | 0.86 | 0.95 | 0.98 | 0.99,Used by contrast-normalization formula.
bkg_intensity:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.735 | 0.89,Retained as source text; do not infer operational meaning.
bkg_monitor_cdm2,Saved background luminance setting,cd/m^2,10.0 | 10.22 | 100 | 149 | 20 | 200 | 204 | 25 | 26.15 | 300 | 370 | 38 | 403 | 415 | 49 | 50 | 72,Field name; compare condition labels.
box,Source metadata field; definitive acquisition meaning not established.,unconfirmed,False,Retained as source text; do not infer operational meaning.
box:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,False,Retained as source text; do not infer operational meaning.
condRule,Source metadata field; definitive acquisition meaning not established.,unconfirmed,2,Retained as source text; do not infer operational meaning.
condRule:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,2,Retained as source text; do not infer operational meaning.
contr,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.018 | 0.117,Retained as source text; do not infer operational meaning.
contr:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.15300000000000002 | 0.162,Retained as source text; do not infer operational meaning.
correctTick,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
