source_id,source_bytes,source_sha256,output_file,role
SUP01,6753337,d912d5c112ba9aa07fb981f20f2b3002eece3a1c9f2135025dd59ccddd8d3388,,supplied_context_or_source
SUP02,801806,179cb68e3ba5c82ae5e905ed9ad2da05ad44d602966f0e1baabed9960bb9bbfa,,supplied_context_or_source
SUP03,18732,ce7543a225f01f82179083182bdad5f3340e721d459e74ff5fd9805eeaa08bab,,supplied_context_or_source
SUP04,113901,178654ef554893a0ced63446edb21448dd9db47a7b9f9cc16cc46a3d3bb64917,,supplied_context_or_source
SUP05,41572,f28bc683dedd6ba21d06e94cee2f743eb8b34355a3e1f43d5ec0c8d622f3593a,,supplied_context_or_source
SUP06,13131,024ee8f7ed111c0ff5959cc6f8f79c455998fbfcbbcc13d3be57a0a255e658b8,,supplied_context_or_source
SUP07,27263,db478fc21583b211ba2b9133eef1f8aaf55f3d8f60fb3e9a7e472fda5596ff99,,supplied_context_or_source
SUP08,58380,1f59ec85610cc80de8d9855bfa5be5a9288bf2a74c8e2c2b3cf6dc62df6aee1f,,supplied_context_or_source
SUP09,17861,38e60e3137c39e3bd69c5564b1efc58a2d1529f1e78c974cc5a48d24a75dddb5,,supplied_context_or_source
SUP10,17861,38e60e3137c39e3bd69c5564b1efc58a2d1529f1e78c974cc5a48d24a75dddb5,,supplied_context_or_source
LIB001,947519,894c1188a8493eccc4d69088b155426d3080affa38668b792e02ce5d97866db9,config/function_provenance.json,analysis_function_library
P01_L010_T001,67708,f28bfe6f352c878de3f2ba1dca45518e4da40658669d834292a6309ebc94df01,data/raw/source_trials/p01_l010_t001.tsv.gz,raw_trial_matrix
P01_L010_T002,62828,e20f97142d10b8b2ff9eea8dc7f2b33aa35a5d3b6e6efb9a6c7399f4f7e30543,data/raw/source_trials/p01_l010_t002.tsv.gz,raw_trial_matrix
P01_L010_T003,52458,1992cf9bcb7ae5b4d0fdf3261a3e97fd06c5bdd364ae29c6bdadffcd7afa5206,data/raw/source_trials/p01_l010_t003.tsv.gz,raw_trial_matrix
P01_L010_T004,61913,3b71da382f3eb5d83685a511db918102f72e7048fb08327f796a95f33566a4cf,data/raw/source_trials/p01_l010_t004.tsv.gz,raw_trial_matrix
P01_L010_T005,53678,13e3c37f6a3df3b40a41819afde69208e77bc955cdd0cac6c23c961e11fe87e0,data/raw/source_trials/p01_l010_t005.tsv.gz,raw_trial_matrix
P01_L010_T006,55203,87d8e0837fe67490608692ef26ac1d1dea60620acd9b7eb5e6bcd16b7253a928,data/raw/source_trials/p01_l010_t006.tsv.gz,raw_trial_matrix
P01_L010_T007,56118,6dc8e1cd299bded06bbd0b810d4cf7ad4eeb4274dc90b687c3102b825511d0ec,data/raw/source_trials/p01_l010_t007.tsv.gz,raw_trial_matrix
P01_L010_T008,60388,ea459dcae98d00fd18dad9708ad2a01dea093766c735ed30b1bdb38da601f2d4,data/raw/source_trials/p01_l010_t008.tsv.gz,raw_trial_matrix
P01_L010_M001,2360,e184ba944a6373b56bf004c05c0db7d5f065a0bcf659a96f29a1225c82bff3b9,data/raw/source_metadata/p01_l010_m001.tsv.gz,stimulus_metadata_sanitized
P01_L010_M002,2360,37bf362777642cdbc20e52dcbff4595bf70fbded3064436b7ab2e6607592c07a,data/raw/source_metadata/p01_l010_m002.tsv.gz,stimulus_metadata_sanitized
P01_L010_M003,2360,37bf362777642cdbc20e52dcbff4595bf70fbded3064436b7ab2e6607592c07a,data/raw/source_metadata/p01_l010_m003.tsv.gz,stimulus_metadata_sanitized
P01_L010_M004,2360,9d1f37ef705b05b8bbb00c25326640fd3dab3484f241a1ecabf98fe82d85aed8,data/raw/source_metadata/p01_l010_m004.tsv.gz,stimulus_metadata_sanitized
P01_L010_M005,2360,9d1f37ef705b05b8bbb00c25326640fd3dab3484f241a1ecabf98fe82d85aed8,data/raw/source_metadata/p01_l010_m005.tsv.gz,stimulus_metadata_sanitized
P01_L010_M006,2360,a49693354601f9a87d665284a251b2f5552a627108ad383f2daf979a3222e072,data/raw/source_metadata/p01_l010_m006.tsv.gz,stimulus_metadata_sanitized
P01_L010_M007,2360,a49693354601f9a87d665284a251b2f5552a627108ad383f2daf979a3222e072,data/raw/source_metadata/p01_l010_m007.tsv.gz,stimulus_metadata_sanitized
P01_L010_M008,2360,e184ba944a6373b56bf004c05c0db7d5f065a0bcf659a96f29a1225c82bff3b9,data/raw/source_metadata/p01_l010_m008.tsv.gz,stimulus_metadata_sanitized
P01_L010_BASE,186,3b848c68a90460f7b831a8772b23332bb4ddcdebef018b3acc0fe3c031d785f3,data/source/csf_baseline/p01_l010.tsv.gz,primary_csf_source
P01_L010_FIT,379747,132a934b6f6705576b39b0268e79f159bb243d0c52f3ee2f82b311b2c0db0a18,data/source/fitted_psf/p01_l010.tsv.gz,saved_psf_distribution
P01_L020_T001,60693,75c350eba9a62833925cb8d61891f0b1b57f9ed0bc6ea0f74395e73c291d98da,data/raw/source_trials/p01_l020_t001.tsv.gz,raw_trial_matrix
P01_L020_T002,57338,9787926b93eb010e9d1d8e303b1853e911c277ad8f12d3444052b414df590b53,data/raw/source_trials/p01_l020_t002.tsv.gz,raw_trial_matrix
P01_L020_T003,60998,4a26af40dadb5e20e7d87b9d07774ddfec448b103f0e51179977d2be01a5bea5,data/raw/source_trials/p01_l020_t003.tsv.gz,raw_trial_matrix
P01_L020_T004,59473,7ad245b83a58a03b4bdd6423b241dcd8fce3e7085d5c9717c77108b0033402db,data/raw/source_trials/p01_l020_t004.tsv.gz,raw_trial_matrix
P01_L020_T005,58253,f93a9bccdcb1fa5bf5ac847511155245a6ab7ae940cb6fcab925c7dd4893db1a,data/raw/source_trials/p01_l020_t005.tsv.gz,raw_trial_matrix
P01_L020_T006,52458,926e774c5d4de9ba8335ffba39669bb520c6c795f6e31876b6c2167837377700,data/raw/source_trials/p01_l020_t006.tsv.gz,raw_trial_matrix
P01_L020_T007,59168,d67bb18e315bbfc30510aaee4cd661e84c09665cc3601fadde839cc0991dc661,data/raw/source_trials/p01_l020_t007.tsv.gz,raw_trial_matrix
P01_L020_T008,57948,b34b36e5b4e0737e02d8acc06ac97043e2ef5436a92a932d301a0a97baef3e6f,data/raw/source_trials/p01_l020_t008.tsv.gz,raw_trial_matrix
P01_L020_M001,2360,07cea0819e4438608038eaeb8846794920d81839e74010b9fa4519de2c86f27b,data/raw/source_metadata/p01_l020_m001.tsv.gz,stimulus_metadata_sanitized
P01_L020_M002,2360,07cea0819e4438608038eaeb8846794920d81839e74010b9fa4519de2c86f27b,data/raw/source_metadata/p01_l020_m002.tsv.gz,stimulus_metadata_sanitized
P01_L020_M003,2360,07cea0819e4438608038eaeb8846794920d81839e74010b9fa4519de2c86f27b,data/raw/source_metadata/p01_l020_m003.tsv.gz,stimulus_metadata_sanitized
P01_L020_M004,2360,07cea0819e4438608038eaeb8846794920d81839e74010b9fa4519de2c86f27b,data/raw/source_metadata/p01_l020_m004.tsv.gz,stimulus_metadata_sanitized
P01_L020_M005,2360,07cea0819e4438608038eaeb8846794920d81839e74010b9fa4519de2c86f27b,data/raw/source_metadata/p01_l020_m005.tsv.gz,stimulus_metadata_sanitized
P01_L020_M006,2360,07cea0819e4438608038eaeb8846794920d81839e74010b9fa4519de2c86f27b,data/raw/source_metadata/p01_l020_m006.tsv.gz,stimulus_metadata_sanitized
P01_L020_M007,2360,07cea0819e4438608038eaeb8846794920d81839e74010b9fa4519de2c86f27b,data/raw/source_metadata/p01_l020_m007.tsv.gz,stimulus_metadata_sanitized
P01_L020_M008,2360,07cea0819e4438608038eaeb8846794920d81839e74010b9fa4519de2c86f27b,data/raw/source_metadata/p01_l020_m008.tsv.gz,stimulus_metadata_sanitized
P01_L020_BASE,189,ea4f90d08154fb86a7dcfcd10023e77bc400138fff81e1e3e4267839e62f9041,data/source/csf_baseline/p01_l020.tsv.gz,primary_csf_source
P01_L020_FIT,381353,4a87de6120f0dc0315584a319b4d719f3bdc5d3938c73a03067075194d9386b3,data/source/fitted_psf/p01_l020.tsv.gz,saved_psf_distribution
P01_L025_T001,50933,6cd52fcbacb3968ac17f8bfb19bef7354ecfca76f9d5c4c111d5769e11b6203d,data/raw/source_trials/p01_l025_t001.tsv.gz,raw_trial_matrix
P01_L025_T002,59778,86394729f4644ff2a38951e88c0be4eed7a4af9a61156fe86c2f52b187aa5be0,data/raw/source_trials/p01_l025_t002.tsv.gz,raw_trial_matrix
P01_L025_T003,53068,079b33df9c8e8a4eeeff3e87bac6f4501c8deb97fe677726eaf0eee7c5393ea1,data/raw/source_trials/p01_l025_t003.tsv.gz,raw_trial_matrix
P01_L025_T004,53678,ab7634f7a797c7c4b48aa316e463f40b6926116e8a2956b6952000f42baecaaf,data/raw/source_trials/p01_l025_t004.tsv.gz,raw_trial_matrix
P01_L025_T005,51848,dd6098c3a1a9263fdf6073602da4c088dd411d6a6ae16c61e4e737bbfc9be0fc,data/raw/source_trials/p01_l025_t005.tsv.gz,raw_trial_matrix
P01_L025_T006,58253,7120b7b7833f38871c7d620b2f315ffe33941889479759b3645a57f839264aa5,data/raw/source_trials/p01_l025_t006.tsv.gz,raw_trial_matrix
P01_L025_T007,54898,1a53146646dfa86e93f4f05e83750fce1c1a012ca409f1e0b156f0835286a220,data/raw/source_trials/p01_l025_t007.tsv.gz,raw_trial_matrix
P01_L025_T008,52153,9ed5a0e6d5c933ab9b6267adfb759a1f8061c2dd27cb8f70338db0ed2e9e1082,data/raw/source_trials/p01_l025_t008.tsv.gz,raw_trial_matrix
P01_L025_T009,50018,dd6f1a9e2ac895aa6bb315c0bf5937bfe4576db91dc3e467f703feffde6281bb,data/raw/source_trials/p01_l025_t009.tsv.gz,raw_trial_matrix
P01_L025_T010,55203,b21efb788594b369aab90f0233a700226e7d587974a02693055d40e8d9425b56,data/raw/source_trials/p01_l025_t010.tsv.gz,raw_trial_matrix
P01_L025_T011,53373,7fa98ffdbeca3a972257eda0deedd537bdc25c7696226c4ac18b8f82c865b1a2,data/raw/source_trials/p01_l025_t011.tsv.gz,raw_trial_matrix
P01_L025_M001,2360,8367229d0320c7d320ce844b39949f4910959068a0d7b03a9c5903807b1dc137,data/raw/source_metadata/p01_l025_m001.tsv.gz,stimulus_metadata_sanitized
P01_L025_M002,2360,8367229d0320c7d320ce844b39949f4910959068a0d7b03a9c5903807b1dc137,data/raw/source_metadata/p01_l025_m002.tsv.gz,stimulus_metadata_sanitized
P01_L025_M003,2360,8367229d0320c7d320ce844b39949f4910959068a0d7b03a9c5903807b1dc137,data/raw/source_metadata/p01_l025_m003.tsv.gz,stimulus_metadata_sanitized
P01_L025_M004,2360,8367229d0320c7d320ce844b39949f4910959068a0d7b03a9c5903807b1dc137,data/raw/source_metadata/p01_l025_m004.tsv.gz,stimulus_metadata_sanitized
P01_L025_M005,2360,8367229d0320c7d320ce844b39949f4910959068a0d7b03a9c5903807b1dc137,data/raw/source_metadata/p01_l025_m005.tsv.gz,stimulus_metadata_sanitized
P01_L025_M006,2360,c4086a7591f6b93d09485855023eb211089b3df18c4d1c10f5020565e069ff73,data/raw/source_metadata/p01_l025_m006.tsv.gz,stimulus_metadata_sanitized
P01_L025_M007,2360,5f542adefaa1c7de0358aac24867e7153e4ea2649ac9fb1712a8d48ac89167f3,data/raw/source_metadata/p01_l025_m007.tsv.gz,stimulus_metadata_sanitized
P01_L025_M008,2360,5f542adefaa1c7de0358aac24867e7153e4ea2649ac9fb1712a8d48ac89167f3,data/raw/source_metadata/p01_l025_m008.tsv.gz,stimulus_metadata_sanitized
P01_L025_M009,2360,5f542adefaa1c7de0358aac24867e7153e4ea2649ac9fb1712a8d48ac89167f3,data/raw/source_metadata/p01_l025_m009.tsv.gz,stimulus_metadata_sanitized
P01_L025_M010,2360,5f542adefaa1c7de0358aac24867e7153e4ea2649ac9fb1712a8d48ac89167f3,data/raw/source_metadata/p01_l025_m010.tsv.gz,stimulus_metadata_sanitized
