source_id,supplied_file_name,role,source_bytes,source_sha256,public_derivative
SUP01,main_draft_14.pdf,supplied_context_or_source,6753337,d912d5c112ba9aa07fb981f20f2b3002eece3a1c9f2135025dd59ccddd8d3388,
SUP02,main_SM_draft12.pdf,supplied_context_or_source,801806,179cb68e3ba5c82ae5e905ed9ad2da05ad44d602966f0e1baabed9960bb9bbfa,
SUP03,NOTES_data_structure.txt,supplied_context_or_source,18732,ce7543a225f01f82179083182bdad5f3340e721d459e74ff5fd9805eeaa08bab,
SUP04,PNAS_submission_checklist.pdf,supplied_context_or_source,113901,178654ef554893a0ced63446edb21448dd9db47a7b9f9cc16cc46a3d3bb64917,
SUP05,plotting_py_functions.txt,supplied_context_or_source,41572,f28bc683dedd6ba21d06e94cee2f743eb8b34355a3e1f43d5ec0c8d622f3593a,
SUP06,analysis_bootstrap_PSF_saveDataSF.py,supplied_context_or_source,13131,024ee8f7ed111c0ff5959cc6f8f79c455998fbfcbbcc13d3be57a0a255e658b8,
SUP07,analysis_bootstrap_PSF_storeDATA.py,supplied_context_or_source,27263,db478fc21583b211ba2b9133eef1f8aaf55f3d8f60fb3e9a7e472fda5596ff99,
SUP08,analysis_difference_kn_kp.py,supplied_context_or_source,58380,1f59ec85610cc80de8d9855bfa5be5a9288bf2a74c8e2c2b3cf6dc62df6aee1f,
SUP09,pasted-text.txt,supplied_context_or_source,17861,38e60e3137c39e3bd69c5564b1efc58a2d1529f1e78c974cc5a48d24a75dddb5,
SUP10,pasted-text.txt,supplied_context_or_source,17861,38e60e3137c39e3bd69c5564b1efc58a2d1529f1e78c974cc5a48d24a75dddb5,
LIB001,functionUSE.py,analysis_function_library,947519,894c1188a8493eccc4d69088b155426d3080affa38668b792e02ce5d97866db9,config/function_provenance.json
SUP11,analysisPer_distanceN_by_N.py,additional_staircase_plotting_source,55907,fdfbf25e1fa1591bebec16a0a6729a3535b6db8ef0f4c0bd9d0e481a6eb45fce,STAIRCASE_NOTES.md
